,Название,Описание,Цена,words
24,пицца~Королева Моря,"Пицца соус, сыр Моцарелла, лосось, креветки тигровые, маслины, перец болгарский, зеленый лук",765,"пицца_NOUN,королева_NOUN,море_NOUN"
25,пицца~Мужская,"Пицца соус, томат, куриное филе, говядина, бекон, сыр Моцарелла, перец болгарский, шампиньоны",770,"пицца_NOUN,мужской_ADJ"
26,пицца~Вегетарианская (new),"Пицца соус, сыр Моцарелла, томат, шампиньоны, кукуруза мини, перец болгарский, маслины, зеленый лук.",525,"пицца_NOUN,вегетарианский_ADJ"
27,пицца~Сырные ломтики,"Острый пицца соус, сыр Моцарелла, бекон, чеснок",345,"пицца_NOUN,ломтик_NOUN,сырный_ADJ"
28,вок~Удон со свининой Ньюпай,"Лапша удон, свинина,  морковь, перец болгарский, лук, грибы шиитаке, соус Ньюпай (соусы сладкий и устричный, соус соевый, куриный бульон)",355,"удон_NOUN,свинина_NOUN,вок_NOUN"
29,вок~Харусаме с курицей по-пекински,"Лапша харусаме, куриная грудка,  морковь, перец болгарский, лук, томат, соус Хойсин",345,"курица_NOUN,вок_NOUN"
30,вок~Удон с курицей в чесночном соусе,"Лапша удон, куриная грудка, морковь, перец болгарский, лук, томат, соус чесночный",345,"удон_NOUN,соус_NOUN,чесночный_ADJ,курица_NOUN,вок_NOUN"
31,вок~Яки-соба Ньюпай,"Лапша гречневая, морковь, перец болгарский, томат, лук, грибы шиитаке, соус Ньюпай соус Ньюпай (соусы сладкий и устричный, соус соевый, куриный бульон)",275,"соба_NOUN,як_NOUN,вок_NOUN"
32,вок~Харусаме со свининой в чесночном соусе,"Лапша харусаме, свинина,  морковь, перец болгарский, лук, томат, соус чесночный",355,"чесночный_ADJ,свинина_NOUN,соус_NOUN,вок_NOUN"
33,вок~Удон с курицей по-пекински,"Лапша удон, курица,  морковь, перец болгарский, лук, томат, соус Хойсин",345,"удон_NOUN,вок_NOUN,курица_NOUN"
34,вок~Харусаме с креветками Том Ям,"Лапша харусаме, креветки,  морковь, перец болгарский, томат, шампиньоны, соус Том Ям",455,"креветка_NOUN,вок_NOUN,яма_NOUN"
35,вок~Харусаме с говядиной Ньюпай,"Лапша харусаме, говядина, морковь, перец болгарский, лук, грибы шиитаке, соус Ньюпай (соусы сладкий и устричный, соус соевый, куриный бульон)",385,"вок_NOUN,говядина_NOUN"
36,вок~Харусаме со свининой Ньюпай,"Лапша харусаме, свинина,  морковь, перец болгарский, лук, грибы шиитаке, соус Ньюпай (соусы сладкий и устричный, соус соевый, куриный бульон)",355,"свинина_NOUN,вок_NOUN"
37,вок~Харусаме с курицей в чесночном соусе,"Лапша харусаме, куриная грудка,  морковь, перец болгарский, лук, томат, соус чесночный",345,"чесночный_ADJ,курица_NOUN,соус_NOUN,вок_NOUN"
38,вок~Удон с говядиной Ньюпай,"Лапша Удон, говядина, морковь, перец болгарский, лук, грибы шиитаке, соус Ньюпай (соусы сладкий и устричный, соус соевый, куриный бульон)",385,"удон_NOUN,вок_NOUN,говядина_NOUN"
39,вок~Удон со свининой в чесночном соусе,"Лапша удон, свинина,  морковь, перец болгарский, лук, томат, соус чесночный",355,"удон_NOUN,соус_NOUN,чесночный_ADJ,свинина_NOUN,вок_NOUN"
